author;date;genre;wikipedia;title;img;Musee;Type
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;View of Fort Samson;https://upload.wikimedia.org/wikipedia/commons/5/5d/Georges_Seurat_-_View_of_Fort_Samson.jpg;Hermitage Museum;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;ModelsLes Poseuses;https://upload.wikimedia.org/wikipedia/commons/1/19/Georges_Seurat_-_Les_Poseuses.jpg;Barnes Foundation;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;I and the Village;https://upload.wikimedia.org/wikipedia/en/d/d1/Marc_Chagall%2C_1911%2C_I_and_the_Village%2C_oil_on_canvas%2C_192.1_x_151.4_cm%2C_Museum_of_Modern_Art%2C_New_York.jpg;Museum of Modern Art;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;The Holy Coachman;https://upload.wikimedia.org/wikipedia/en/3/34/Marc_Chagall%2C_1911-12%2C_Le_saint_voiturier_%28The_Holy_Coachman%29%2C_oil_on_canvas%2C_148_x_117.5_cm%2C_private_collection.jpg;;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;The gates of the cemetery;https://upload.wikimedia.org/wikipedia/commons/2/23/%22The_Cemetery_Gates%22%2C_Marc_Chagall_%281917%29_Mus%C3%A9e_d%27art_et_d%27histoire_du_Juda%C3%AFsme.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;A Carnival Evening;https://upload.wikimedia.org/wikipedia/commons/2/2b/Henri_Rousseau_-_A_Carnival_Evening.jpg;Philadelphia Museum of Art;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Self Portrait;https://upload.wikimedia.org/wikipedia/commons/4/40/Henri_Rousseau_-_Myself-_Portrait_%E2%80%93_Landscape_-_Google_Art_Project.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Le Moulin (The Mill);https://upload.wikimedia.org/wikipedia/commons/b/be/Henri_Rousseau_-_Le_Moulin.jpg;Musée Maillol;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Boy on the Rocks;https://upload.wikimedia.org/wikipedia/commons/9/9c/Boy_on_the_Rocks_-_1895-7_-_Henri_Rousseau.jpg;National Gallery of Art;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;The Sleeping Gypsy;https://upload.wikimedia.org/wikipedia/commons/0/06/La_Boh%C3%A9mienne_endormie.jpg;MoMA;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;La tour Eiffel peinte par Henri Rousseau;https://upload.wikimedia.org/wikipedia/commons/e/e8/Douanier_Rousseau_tour_Eiffel.jpg;Houston Museum of Fine Arts;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;Self-portrait of the Artist with a Lamp;https://upload.wikimedia.org/wikipedia/commons/f/fc/Henri_Rousseau_-_Self-portrait_of_the_Artist_with_a_Lamp.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;The Flamingoes;https://upload.wikimedia.org/wikipedia/commons/b/b9/Henri_Rousseau_-_The_Flamingoes.jpg;;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;The Snake Charmer;https://upload.wikimedia.org/wikipedia/commons/3/38/HENRI_ROUSSEAU_-_La_Encantadora_de_Serpientes_%28Museo_de_Orsay%2C_Par%C3%ADs%2C_1907._%C3%93leo_sobre_lienzo%2C_169_x_189.5_cm%29.jpg;The Snake Charmer;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Femme nue couchée;https://upload.wikimedia.org/wikipedia/commons/1/1a/Gustave_Courbet%2C_Femme_nue_couch%C3%A9e%2C_1862.jpg;;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Portrait of Jo (La belle Irlandaise)Sleep;https://upload.wikimedia.org/wikipedia/commons/0/0b/Gustave_Courbet_-_Jo%2C_the_Beautiful_Irish_Girl_-_Google_Art_Project.jpg;Metropolitan Museum of Art;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Le Sommeil (Sleep);https://upload.wikimedia.org/wikipedia/commons/e/e9/The_Sleepers_by_Gustave_Courbet.jpg;;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Young Bather;https://upload.wikimedia.org/wikipedia/commons/6/62/Gustave_Courbet_-_Young_Bather.jpg;;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;The Origin of the WorldL'Origine du monde;https://upload.wikimedia.org/wikipedia/commons/3/3f/Origin-of-the-World.jpg;Musée d'Orsay;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Self-Portrait with a Black Dog;https://upload.wikimedia.org/wikipedia/commons/1/1a/Selbstbildnis_mit_schwarzem_Hund.jpg;;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Self-portrait;https://upload.wikimedia.org/wikipedia/commons/a/ac/Selfportrait_%28Rembrandt_Harmensz._van_Rijn%29_-_Nationalmuseum_-_22374.tif;;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Self-portrait (The Desperate Man);https://upload.wikimedia.org/wikipedia/commons/8/8f/Gustave_Courbet_-_Le_D%C3%A9sesp%C3%A9r%C3%A9_%281843%29.jpg;;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;The Cellist Self-portrait;https://upload.wikimedia.org/wikipedia/commons/0/09/The_Cellist%2C_Self-Portrait_1847_Gustave_Courbet.jpg;Nationalmuseum;Tableau
Gustave Courbet;1819 - 1877;Realism;https://en.wikipedia.org/wiki/Gustave_Courbet;Artist at His Easel;https://upload.wikimedia.org/wikipedia/commons/e/e3/Gustave_Courbet_-_Artist_at_His_Easel_-_WGA05523.jpg;;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Madonna of the Carnation;https://upload.wikimedia.org/wikipedia/commons/7/70/Leonardo_da_Vinci_Madonna_of_the_Carnation.jpg;Alte Pinakothek;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Landscape of the Arno Valley;https://upload.wikimedia.org/wikipedia/commons/b/b6/Paisagem_do_Arno_-_Leonardo_da_Vinci.jpg;;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Ginevra de' Benci;https://upload.wikimedia.org/wikipedia/commons/3/39/Leonardo_da_Vinci_-_Ginevra_de%27_Benci_-_Google_Art_Project.jpg;National Gallery of Art;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Benois Madonna;https://upload.wikimedia.org/wikipedia/commons/c/c7/Madonna_benois_01.jpg;Hermitage;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Head of a Woman;https://upload.wikimedia.org/wikipedia/commons/b/b5/Leonardo_da_vinci%2C_Head_of_a_girl_01.jpg;Royal Library of Turin;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Portrait of a Musician;https://upload.wikimedia.org/wikipedia/commons/6/6a/Leonardo_da_Vinci_-_Portrait_of_a_Musician_-_Pinacoteca_Ambrosiana.jpg;Pinacoteca Ambrosiana;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;Vitruvian Man;https://upload.wikimedia.org/wikipedia/commons/2/26/Da_Vinci_Vitruve_Luc_Viatour_%28cropped%29.jpg;Accademia;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Madonna of the Steps;https://upload.wikimedia.org/wikipedia/commons/b/b2/Buonarotti-scala.jpg;;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Taddei Tondo;https://upload.wikimedia.org/wikipedia/commons/2/22/Taddei_Tondo.JPG;;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Doni Tondo;https://upload.wikimedia.org/wikipedia/commons/e/e1/Tondo_Doni%2C_por_Miguel_%C3%81ngel.jpg;;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Bacchus;https://upload.wikimedia.org/wikipedia/commons/2/2d/Michelangelo_Bacchus.jpg;;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Dying Slave;https://upload.wikimedia.org/wikipedia/commons/8/86/%27Dying_Slave%27_Michelangelo_JBU001.jpg;Louvre;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Atlas Slave;https://upload.wikimedia.org/wikipedia/commons/9/97/Michelangelo_-_Atlas.jpg;;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;The Drunkenness of Noah;https://upload.wikimedia.org/wikipedia/commons/0/07/Ivresse_de_noe.jpg;;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;The Deluge;https://upload.wikimedia.org/wikipedia/commons/d/d6/Michelangelo%2C_Deluge_02.jpg;;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Land of Cockaigne;https://upload.wikimedia.org/wikipedia/commons/a/a5/Pieter_Bruegel_d._%C3%84._037.jpg;Alte Pinakothek;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Peasant and the Nest Robber;https://upload.wikimedia.org/wikipedia/commons/9/9f/The_Peasant_and_the_Birdnester_Pieter_Bruegel_the_Elder_1568.jpeg;Kunsthistorisches Museum;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Peasant Dance;https://upload.wikimedia.org/wikipedia/commons/a/aa/Pieter_Bruegel_The_Peasant_Dance.jpg;Kunsthistorisches Museum;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Beggars (The Cripples);https://upload.wikimedia.org/wikipedia/commons/a/ae/Pieter_Bruegel_the_Elder_-_The_Cripples.JPG;Louvre;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;A Pig Has to Go in a Sty;https://upload.wikimedia.org/wikipedia/commons/3/37/Pieter_Bruegel_the_Elder_-_1557_-_A_Pig_Has_To_Go_in_a_Sty.jpg;;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Fall of the Rebel Angels;https://upload.wikimedia.org/wikipedia/commons/e/ec/Pieter_Bruegel_the_Elder_-_The_Fall_of_the_Rebel_Angels.JPG;Royal Museums of Fine Arts of Belgium;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;Dulle Griet;https://upload.wikimedia.org/wikipedia/commons/a/a8/Dulle_Griet%2C_by_Pieter_Brueghel_%28I%29.jpg;Museum Mayer van den Bergh Antwerp;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Wedding Dance;https://upload.wikimedia.org/wikipedia/commons/4/40/Pieter_Bruegel_the_Elder_-_Wedding_Dance_in_the_Open_Air_-_WGA03505.jpg;The Detroit Institute of Arts;Tableau
Pieter Bruegel;1525 - 1569;Renaissance;http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder;The Census at Bethlehem;https://upload.wikimedia.org/wikipedia/commons/f/f3/Brueghel7.jpg;Royal Museums of Fine Arts of Belgium;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;Calais Pier;https://upload.wikimedia.org/wikipedia/commons/e/e2/Joseph_Mallord_William_Turner_024.jpg;National Gallery;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;Dutch Boats in a Gale;https://upload.wikimedia.org/wikipedia/commons/8/81/Joseph_Mallord_William_Turner_-_Dutch_Boats_in_a_Gale_-_WGA23163.jpg;Willem van de Velde the Younger;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;Snow Storm: Hannibal and his Army Crossing the Alps;https://upload.wikimedia.org/wikipedia/commons/f/f4/Joseph_Mallord_William_Turner_081.jpg;Tate Britain;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;Dort or Dordrecht: The Dort packet-boat from Rotterdam becalmed;https://upload.wikimedia.org/wikipedia/commons/0/08/DortorDordrecht.jpg;Yale Center for British Art;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;The Burning of the Houses of Lords and Commons;https://upload.wikimedia.org/wikipedia/commons/c/c3/Joseph_Mallord_William_Turner%2C_English_-_The_Burning_of_the_Houses_of_Lords_and_Commons%2C_October_16%2C_1834_-_Google_Art_Project.jpg;Philadelphia Museum of Art;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;Wreckers Coast of Northumberland;https://upload.wikimedia.org/wikipedia/commons/2/2a/Wreckers_Coast_of_Northumberland_Joseph_Mallord_William_Turner.jpeg;;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;Valley of Aosta: Snowstorm Avalanche and Thunderstorm;https://upload.wikimedia.org/wikipedia/commons/e/e1/Chicago_art_inst_turner_vallee_aoste.JPG;Art Institute of Chicago;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;The Fighting Temeraire tugged to her last berth to be broken up;https://upload.wikimedia.org/wikipedia/commons/3/30/The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg;;Tableau
William Turner;1775 - 1851;Romanticism;https://en.wikipedia.org/wiki/J._M._W._Turner;The Slave Ship;https://upload.wikimedia.org/wikipedia/commons/2/26/Slave-ship.jpg;Museum of Fine Arts Boston;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;Mademoiselle Rose;https://upload.wikimedia.org/wikipedia/commons/5/53/Eug%C3%A8ne_Ferdinand_Victor_Delacroix_024.jpg;Louvre;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;Orphan Girl at the Cemetery;https://upload.wikimedia.org/wikipedia/commons/3/37/Eug%C3%A8ne_Delacroix_-_Jeune_orpheline_au_cimeti%C3%A8re_%28vers_1824%29.JPG;Louvre;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;The Combat of the Giaour and Hassan;https://upload.wikimedia.org/wikipedia/commons/c/c8/Eug%C3%A8ne_Ferdinand_Victor_Delacroix_021.jpg;Art Institute of Chicago;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;Woman with a Parrot;https://upload.wikimedia.org/wikipedia/commons/c/c4/Delacroix%2C_Eug%C3%A8ne_Ferdinand_Victor_-_Woman_with_a_Parrot_-_1827.jpg;Museum of Fine Arts of Lyon;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;Woman With White Socks;https://upload.wikimedia.org/wikipedia/commons/6/6c/Delacroix%2C_La_Femme_aux_bas_blancs.jpg;Louvre;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;A Young Tiger Playing with its Mother;https://upload.wikimedia.org/wikipedia/commons/a/ad/Young_tiger_playing_with_its_mother.jpg;Louvre;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Flower Girl;https://upload.wikimedia.org/wikipedia/commons/8/81/Flowergirl.jpg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Bathers;https://upload.wikimedia.org/wikipedia/commons/0/0e/Bathers.jpg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Winter;https://upload.wikimedia.org/wikipedia/commons/6/67/Winter_Landscape_%28Malevich%2C_1930%29.jpg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Taking in the Rye;https://upload.wikimedia.org/wikipedia/commons/3/3b/Taking_in_the_Rye_Kazimir_Malevich_1911.jpeg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Self-portrait;https://upload.wikimedia.org/wikipedia/commons/a/ac/Selfportrait_%28Rembrandt_Harmensz._van_Rijn%29_-_Nationalmuseum_-_22374.tif;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Head of a Peasant Girl;https://upload.wikimedia.org/wikipedia/commons/6/61/Head_of_a_Peasant_Girl.jpg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Bureau and Room;https://upload.wikimedia.org/wikipedia/commons/1/14/Bureau_and_Room.jpg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Cow and Fiddle;https://upload.wikimedia.org/wikipedia/commons/2/2c/Cow_and_Fiddle.jpg;;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Englishman in Moscow;https://upload.wikimedia.org/wikipedia/commons/7/71/Englishman_in_Moscow.jpg;;Tableau
Joan Miro;1893 – 1983;Surrealism;https://en.wikipedia.org/wiki/Joan_Miro;Pla de l'Os;https://upload.wikimedia.org/wikipedia/commons/e/e6/JuanMiroMosaic.jpg;;Sculpture
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;IdylleIdylls;https://upload.wikimedia.org/wikipedia/commons/d/dd/Idylle_%28Idylls%29.jpg;Vienna Museum;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Der BlindeThe Blind Man;https://upload.wikimedia.org/wikipedia/commons/6/69/Gustav_Klimt_-_Blind_Man_-_Google_Art_Project.jpg;Leopold Museum;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Stiller Weiher;https://upload.wikimedia.org/wikipedia/commons/e/ec/Gustav_Klimt_-_Tranquil_Pond_%28Egelsee_near_Golling%2C_Salzburg%29_-_Google_Art_Project.jpg;Leopold Museum;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Jurisprudence;https://upload.wikimedia.org/wikipedia/commons/9/9d/Jurisprudence-final-state-1907.jpg;;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Medicine;https://upload.wikimedia.org/wikipedia/commons/c/c8/Klimtmedicinephoto.jpg;;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Medicine;https://upload.wikimedia.org/wikipedia/commons/c/c8/Klimtmedicinephoto.jpg;;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Schubert am KlavierSchubert at the Piano;https://upload.wikimedia.org/wikipedia/commons/9/90/Schubert-Klimt.jpg;;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Judith and the Head of Holofernes;https://upload.wikimedia.org/wikipedia/commons/9/92/Gustav_Klimt_039.jpg;;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;The Beethoven Frieze: The Hostile Powers;https://upload.wikimedia.org/wikipedia/commons/9/9e/Gustav-Klimt-The-Beethoven-Frieze-The-Hostile-Powers.-Far-Wall.jpg;Secession Building;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;The Market Gardens of Vaugirard;https://upload.wikimedia.org/wikipedia/commons/7/77/Paul_Gauguin_064.jpg;Smith College Museum of Art;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Winter Landscape;https://upload.wikimedia.org/wikipedia/commons/b/b9/Paul_Gauguin_059.jpg;Museum of Fine Arts Budapest;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Portrait of Madame Gauguin;https://upload.wikimedia.org/wikipedia/commons/c/c3/Paul_Gauguin%2C_1880%2C_The_Embroiderer_%28La_Brodeuse%29%2C_oil_on_canvas%2C_116_x_81_cm%2C_Foundation_E.G._B%C3%BChrle.jpg;Foundation E.G. Bührle;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Garden in Vaugirard;https://upload.wikimedia.org/wikipedia/commons/d/d8/Paul_Gauguin_060.jpg;Ny Carlsberg Glyptotek;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Women Bathing;https://upload.wikimedia.org/wikipedia/commons/3/38/Gauguin_Women_Bathing.jpg;National Museum of Western Art Tokyo;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Breton Girl;https://upload.wikimedia.org/wikipedia/commons/5/52/Gauguin_-_Bretonne.jpg;Burrell Collection;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Breton Bather;https://upload.wikimedia.org/wikipedia/commons/b/b2/Paul_Gauguin%2C_1886-87%2C_Breton_Bather%2C_Art_Institute_of_Chicago.jpg;Art Institute of Chicago;Tableau
Paul Gauguin;1848 – 1903;Symbolism;http://en.wikipedia.org/wiki/Paul_Gauguin;Still Life with Profile of Laval;https://upload.wikimedia.org/wikipedia/commons/8/85/Gauguin%2C_Paul_-_Still_Life_with_Profile_of_Laval_-_Google_Art_Project.jpg;Charles Laval;Tableau