Titre,url
"Chagall, Modigliani, Soutine... — Paris pour école, 1905-1940",https://www.offi.fr/expositions-musees/musee-dart-et-dhistoire-du-judaisme-1445/chagall-modigliani-soutine-paris-pour-ecole-1905-1940-80577.html
L'Heure bleue de Peder Severin Krøyer,https://www.offi.fr/expositions-musees/marmottan-monet-2747/lheure-bleue-de-peder-severin-kroyer-80264.html
Édition Limitée,https://www.offi.fr/expositions-musees/petit-palais-2991/edition-limitee-80404.html
Le Paris de Dufy,https://www.offi.fr/expositions-musees/musee-de-montmartre-2822/le-paris-de-dufy-80390.html
Un Printemps incertain,https://www.offi.fr/expositions-musees/les-arts-decoratifs-1462/un-printemps-incertain-80294.html
Tempêtes et naufrages,https://www.offi.fr/expositions-musees/renan-scheffer-vie-romantique-3369/tempetes-et-naufrages-79377.html
Picasso-Rodin,https://www.offi.fr/expositions-musees/musee-rodin-3080/picasso-rodin-80380.html
"Damien Hirst, Cerisiers en fleurs",https://www.offi.fr/expositions-musees/fondation-cartier-pour-lart-contemporain-2334/damien-hirst-cerisiers-en-fleurs-80807.html
Jardins d'Asie,https://www.offi.fr/expositions-musees/musee-guimet-2426/jardins-dasie-80986.html
Victor Hugo - Dessins,https://www.offi.fr/expositions-musees/maison-de-victor-hugo-3366/victor-hugo-dessins-80428.html
"Uderzo, comme une potion magique",https://www.offi.fr/expositions-musees/musee-maillol-2639/uderzo-80495.html
Côté jardin - De Monet à Bonnard,https://www.offi.fr/expositions-musees/musee-des-impressionnismes-1443/cote-jardin-de-monet-a-bonnard-80401.html
Giacometti et l'Égypte antique,https://www.offi.fr/expositions-musees/institut-giacometti-6815/giacometti-et-legypte-antique-80806.html
Gustave Moreau — Les Fables de La Fontaine : œuvres préparatoires,https://www.offi.fr/expositions-musees/gustave-moreau-2432/gustave-moreau-les-fables-de-la-fontaine-80573.html
Dalí - L'énigme sans fin,https://www.offi.fr/expositions-musees/la-halle-6669/dali-lenigme-sans-fin-80456.html
"Botticelli, artiste et designer",https://www.offi.fr/expositions-musees/musee-jacquemart-andre-2518/botticelli-artiste-et-designer-81174.html
La Collection Morozov - Icônes de l'art moderne,https://www.offi.fr/expositions-musees/fondation-louis-vuitton-6084/la-collection-morozov-80273.html
The Parisianer- Chroniques du Muséum,https://www.offi.fr/expositions-musees/jardin-des-plantes-2531/the-parisianer-chroniques-du-museum-80411.html
Lumières du Liban,https://www.offi.fr/expositions-musees/institut-du-monde-arabe-2504/lumieres-du-liban-81150.html
"Damien Deroubaix, La Valise d'Orphée",https://www.offi.fr/expositions-musees/musee-de-la-chasse-et-de-la-nature-1772/damien-deroubaix-la-valise-dorphee-80985.html
Hommage à Georges Rouault : Saintes Colères,https://www.offi.fr/expositions-musees/centre-georges-pompidou-1728/hommage-a-georges-rouault-saintes-coleres-81146.html
Chaïm Soutine / Willem de Kooning : la peinture incarnée,https://www.offi.fr/expositions-musees/musee-de-lorangerie-2889/chaim-soutine-willem-de-kooning-la-peinture-incarnee-80665.html
Georgia O'Keeffe,https://www.offi.fr/expositions-musees/centre-georges-pompidou-1728/georgia-okeeffe-81100.html
Julie Manet,https://www.offi.fr/expositions-musees/marmottan-monet-2747/julie-manet-80901.html
La Fabrique de l'extravagance,https://www.offi.fr/expositions-musees/chateau-et-musee-conde-1797/la-fabrique-de-lextravagance-porcelaines-de-meissen-et-de-chantilly-79080.html
"Anni et Josef Albers, L'art et la vie",https://www.offi.fr/expositions-musees/musee-dart-moderne-1450/anni-et-josef-albers-lart-et-la-vie-80412.html
"Ilya Répine (1844-1930), Peindre l'âme russe",https://www.offi.fr/expositions-musees/petit-palais-2991/ilya-repine-1844-1930-peindre-lame-russe-81098.html
Signac collectionneur,https://www.offi.fr/expositions-musees/musee-dorsay-2897/signac-collectionneur-80668.html
"Antonin Personnaz, La vallée de l'Oise en couleurs",https://www.offi.fr/expositions-musees/musee-camille-pissarro-1613/antonin-personnaz-la-vallee-de-loise-en-couleurs-80900.html